Dec,Hex,Bin,Opcode,ALUop,jump,branch,RegDst,RegWr,ExtOp,MemWr,Mem2Reg,ALUsrc,Warnings,Notes,
Opcodes,,,,,,,,,,,,,,,
0,00,000000,Funct(1),,,,,,,,,,,,0x000000
1,01,000001,,,,,,,,,,,,,0x000000
2,02,000010,j,,,,,,,,,,,,0x000000
3,03,000011,jal,,,,,,,,,,,,0x000000
4,04,000100,beq,,,,,,,,,,,,0x000000
5,05,000101,bne,,,,,,,,,,,,0x000000
6,06,000110,blez,,,,,,,,,,,,0x000000
7,07,000111,bgtz,,,,,,,,,,,,0x000000
8,08,001000,addi,add,0,0,0,1,1,0,0,1,,"rt not modified on overflow",0x000019
9,09,001001,addiu,add,0,0,0,1,1,0,0,1,,,0x000019
10,0A,001010,slti,,,,,,,,,,,,0x000000
11,0B,001011,sltiu,,,,,,,,,,,,0x000000
12,0C,001100,andi,and,,,,,,,,,,,0x000000
13,0D,001101,ori,or,,,,,,,,,,,0x000000
14,0E,001110,xori,xor,,,,,,,,,,,0x000000
15,0F,001111,lui,,,,,,,,,,,,0x000000
16,10,010000,,,,,,,,,,,,,0x000000
17,11,010001,Funct(2),,,,,,,,,,,,0x000000
18,12,010010,,,,,,,,,,,,,0x000000
19,13,010011,,,,,,,,,,,,,0x000000
20,14,010100,,,,,,,,,,,,,0x000000
21,15,010101,,,,,,,,,,,,,0x000000
22,16,010110,,,,,,,,,,,,,0x000000
23,17,010111,,,,,,,,,,,,,0x000000
24,18,011000,,,,,,,,,,,,,0x000000
25,19,011001,,,,,,,,,,,,,0x000000
26,1A,011010,,,,,,,,,,,,,0x000000
27,1B,011011,,,,,,,,,,,,,0x000000
28,1C,011100,,,,,,,,,,,,,0x000000
29,1D,011101,,,,,,,,,,,,,0x000000
30,1E,011110,,,,,,,,,,,,,0x000000
31,1F,011111,,,,,,,,,,,,,0x000000
32,20,100000,lb,,,,,,,,,,,,0x000000
33,21,100001,lh,,,,,,,,,,,,0x000000
34,22,100010,lwl,,,,,,,,,,,,0x000000
35,23,100011,lw,,,,,,,,,,,,0x000000
36,24,100100,lbu,,,,,,,,,,,,0x000000
37,25,100101,lhu,,,,,,,,,,,,0x000000
38,26,100110,lwr,,,,,,,,,,,,0x000000
39,27,100111,,,,,,,,,,,,,0x000000
40,28,101000,sb,,,,,,,,,,,,0x000000
41,29,101001,sh,,,,,,,,,,,,0x000000
42,2A,101010,swl,,,,,,,,,,,,0x000000
43,2B,101011,sw,,,,,,,,,,,,0x000000
44,2C,101100,,,,,,,,,,,,,0x000000
45,2D,101101,,,,,,,,,,,,,0x000000
46,2E,101110,swr,,,,,,,,,,,,0x000000
47,2F,101111,cache,,,,,,,,,,,,0x000000
48,30,110000,ll,,,,,,,,,,,,0x000000
49,31,110001,lwc1,,,,,,,,,,,,0x000000
50,32,110010,lwc2,,,,,,,,,,,,0x000000
51,33,110011,pref,,,,,,,,,,,,0x000000
52,34,110100,,,,,,,,,,,,,0x000000
53,35,110101,ldc1,,,,,,,,,,,,0x000000
54,36,110110,ldc2,,,,,,,,,,,,0x000000
55,37,110111,,,,,,,,,,,,,0x000000
56,38,111000,sc,,,,,,,,,,,,0x000000
57,39,111001,swc1,,,,,,,,,,,,0x000000
58,3A,111010,swc2,,,,,,,,,,,,0x000000
59,3B,111011,,,,,,,,,,,,,0x000000
60,3C,111100,,,,,,,,,,,,,0x000000
61,3D,111101,sdc1,,,,,,,,,,,,0x000000
62,3E,111110,sdc2,,,,,,,,,,,,0x000000
63,3F,111111,,,,,,,,,,,,,0x000000
